gender,age,age_o,samerace,int_corr,pf_o_att,pf_o_sin,pf_o_int,pf_o_fun,pf_o_amb,pf_o_sha,attr,sinc,intel,fun,amb,shar,like,prob,dec,attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,like_o,prob_o,dec_o,match,attr1_s,sinc1_s,intel1_s,fun1_s,amb1_s,shar1_s,attr3_1,sinc3_1,intel3_1,fun3_1,amb3_1
1,29.0,27.0,1,0.13,16.67,16.67,16.67,16.67,16.67,16.67,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1,8.0,9.0,9.0,9.0,9.0,8.0,9.0,7.0,1,1,20.0,15.56,17.78,17.78,13.33,15.56,7.0,7.0,8.0,9.0,8.0
1,29.0,24.0,0,-0.35,12.77,19.15,17.02,17.02,14.89,19.15,5.0,9.0,8.0,6.0,8.0,6.0,6.0,6.0,0,8.0,7.0,7.0,8.0,8.0,7.0,7.0,6.0,0,0,20.0,15.56,17.78,17.78,13.33,15.56,7.0,7.0,8.0,9.0,8.0
1,28.0,27.0,0,0.05,16.67,16.67,16.67,16.67,16.67,16.67,8.0,7.0,7.0,7.0,7.0,8.0,7.0,7.0,1,5.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,0,0,20.93,20.93,18.6,18.6,4.65,16.28,7.0,9.0,8.0,8.0,6.0
1,28.0,24.0,0,0.19,12.77,19.15,17.02,17.02,14.89,19.15,6.0,10.0,9.0,9.0,6.0,5.0,8.0,8.0,1,5.0,6.0,5.0,7.0,5.0,6.0,5.0,5.0,0,0,20.93,20.93,18.6,18.6,4.65,16.28,7.0,9.0,8.0,8.0,6.0
1,28.0,23.0,0,-0.1,6.67,20.0,20.0,17.78,20.0,15.56,7.0,8.0,8.0,7.0,6.0,5.0,7.0,7.0,1,6.0,5.0,6.0,5.0,6.0,4.0,5.0,2.0,0,0,20.93,20.93,18.6,18.6,4.65,16.28,7.0,9.0,8.0,8.0,6.0
0,24.0,23.0,1,0.35,19.05,19.05,19.05,19.05,9.52,14.29,4.0,5.0,6.0,4.0,6.0,4.0,4.0,9.0,0,10.0,8.0,8.0,7.0,7.0,5.0,9.0,5.0,1,0,14.58,16.67,20.83,20.83,14.58,12.5,9.0,9.0,10.0,9.0,7.0
0,24.0,22.0,1,-0.01,16.67,18.75,18.75,18.75,18.75,8.33,10.0,10.0,9.0,8.0,8.0,7.0,9.0,8.0,1,8.0,7.0,8.0,7.0,6.0,4.0,7.0,6.0,0,0,14.58,16.67,20.83,20.83,14.58,12.5,9.0,9.0,10.0,9.0,7.0
0,24.0,27.0,0,-0.24,15.22,15.22,19.57,17.39,13.04,19.57,8.0,10.0,9.0,8.0,8.0,5.0,8.0,6.0,1,6.0,7.0,7.0,6.0,6.0,5.0,5.0,5.0,0,0,14.58,16.67,20.83,20.83,14.58,12.5,9.0,9.0,10.0,9.0,7.0
0,24.0,26.0,1,-0.43,12.0,20.0,20.0,20.0,16.0,12.0,6.0,8.0,8.0,8.0,8.0,7.0,8.0,10.0,1,7.0,7.0,7.0,5.0,6.0,5.0,6.0,2.0,0,0,14.58,16.67,20.83,20.83,14.58,12.5,9.0,9.0,10.0,9.0,7.0
0,24.0,30.0,1,-0.4,16.67,12.5,20.83,18.75,12.5,18.75,6.0,8.0,7.0,6.0,5.0,7.0,7.0,2.0,0,8.0,8.0,9.0,7.0,8.0,6.0,6.0,3.0,0,0,14.58,16.67,20.83,20.83,14.58,12.5,9.0,9.0,10.0,9.0,7.0
0,24.0,23.0,1,-0.63,18.6,13.95,18.6,16.28,16.28,16.28,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,1,7.0,6.0,7.0,6.0,4.0,4.0,6.0,4.0,1,1,14.58,16.67,20.83,20.83,14.58,12.5,9.0,9.0,10.0,9.0,7.0
0,24.0,23.0,0,-0.5,11.11,17.78,17.78,17.78,17.78,17.78,6.0,9.0,9.0,10.0,9.0,10.0,10.0,10.0,1,8.0,8.0,7.0,7.0,7.0,8.0,8.0,9.0,1,1,14.58,16.67,20.83,20.83,14.58,12.5,9.0,9.0,10.0,9.0,7.0
0,24.0,28.0,1,-0.59,17.78,20.0,17.78,15.56,15.56,13.33,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,1,8.0,8.0,9.0,8.0,7.0,8.0,8.0,7.0,1,1,14.58,16.67,20.83,20.83,14.58,12.5,9.0,9.0,10.0,9.0,7.0
0,24.0,28.0,0,-0.27,16.28,20.93,18.6,18.6,13.95,11.63,4.0,7.0,7.0,9.0,8.0,7.0,9.0,10.0,0,7.0,7.0,7.0,7.0,5.0,7.0,7.0,6.0,1,0,14.58,16.67,20.83,20.83,14.58,12.5,9.0,9.0,10.0,9.0,7.0
0,24.0,29.0,1,-0.36,19.57,10.87,19.57,19.57,19.57,10.87,4.0,10.0,9.0,5.0,6.0,2.0,7.0,10.0,1,7.0,8.0,9.0,9.0,8.0,7.0,7.0,7.0,1,1,14.58,16.67,20.83,20.83,14.58,12.5,9.0,9.0,10.0,9.0,7.0
0,24.0,27.0,1,0.04,17.78,17.78,22.22,20.0,15.56,6.67,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,1,8.0,7.0,6.0,7.0,7.0,6.0,6.0,6.0,1,1,14.58,16.67,20.83,20.83,14.58,12.5,9.0,9.0,10.0,9.0,7.0
0,24.0,22.0,1,-0.21,18.37,18.37,20.41,20.41,16.33,6.12,6.0,4.0,8.0,9.0,9.0,9.0,8.0,7.0,1,8.0,7.0,7.0,7.0,5.0,5.0,7.0,5.0,1,1,14.58,16.67,20.83,20.83,14.58,12.5,9.0,9.0,10.0,9.0,7.0
0,23.0,23.0,1,-0.4,19.05,19.05,19.05,19.05,9.52,14.29,4.0,6.0,7.0,4.0,7.0,4.0,4.0,7.0,0,9.0,9.0,9.0,7.0,7.0,8.0,9.0,7.0,1,0,16.33,16.33,16.33,18.37,16.33,16.33,7.0,8.0,9.0,8.0,9.0
0,23.0,28.0,1,0.32,15.91,20.45,20.45,20.45,11.36,11.36,4.0,7.0,8.0,5.0,7.0,4.0,4.0,8.0,0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,7.0,1,0,16.33,16.33,16.33,18.37,16.33,16.33,7.0,8.0,9.0,8.0,9.0
0,23.0,29.0,0,0.64,16.0,18.0,18.0,18.0,14.0,16.0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,0,6.0,8.0,9.0,9.0,9.0,7.0,7.0,6.0,0,0,16.33,16.33,16.33,18.37,16.33,16.33,7.0,8.0,9.0,8.0,9.0
0,23.0,22.0,1,0.44,16.67,18.75,18.75,18.75,18.75,8.33,8.0,8.0,8.0,10.0,7.0,9.0,9.0,5.0,1,6.0,8.0,10.0,9.0,3.0,1.0,5.0,3.0,0,0,16.33,16.33,16.33,18.37,16.33,16.33,7.0,8.0,9.0,8.0,9.0
0,23.0,27.0,0,0.28,15.22,15.22,19.57,17.39,13.04,19.57,7.0,7.0,8.0,8.0,7.0,7.0,9.0,5.0,1,8.0,7.0,7.0,7.0,7.0,5.0,8.0,10.0,1,1,16.33,16.33,16.33,18.37,16.33,16.33,7.0,8.0,9.0,8.0,9.0
0,23.0,26.0,1,0.14,12.0,20.0,20.0,20.0,16.0,12.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,8.0,0,8.0,8.0,8.0,6.0,6.0,5.0,6.0,4.0,0,0,16.33,16.33,16.33,18.37,16.33,16.33,7.0,8.0,9.0,8.0,9.0
0,23.0,27.0,1,0.27,20.51,23.08,20.51,17.95,2.56,15.38,8.0,8.0,7.0,7.0,6.0,7.0,8.0,0.0,0,7.0,7.0,9.0,7.0,6.0,5.0,7.0,4.0,0,0,16.33,16.33,16.33,18.37,16.33,16.33,7.0,8.0,9.0,8.0,9.0
0,23.0,30.0,1,0.01,16.67,12.5,20.83,18.75,12.5,18.75,7.0,6.0,6.0,5.0,6.0,5.0,6.0,8.0,0,7.0,8.0,10.0,8.0,7.0,6.0,7.0,5.0,0,0,16.33,16.33,16.33,18.37,16.33,16.33,7.0,8.0,9.0,8.0,9.0
0,23.0,23.0,1,0.38,18.6,13.95,18.6,16.28,16.28,16.28,6.0,7.0,8.0,7.0,7.0,7.0,6.0,6.0,0,4.0,6.0,5.0,4.0,5.0,6.0,3.0,3.0,0,0,16.33,16.33,16.33,18.37,16.33,16.33,7.0,8.0,9.0,8.0,9.0
0,23.0,23.0,0,0.03,11.11,17.78,17.78,17.78,17.78,17.78,5.0,5.0,6.0,6.0,5.0,5.0,5.0,8.0,0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,1,0,16.33,16.33,16.33,18.37,16.33,16.33,7.0,8.0,9.0,8.0,9.0
0,23.0,28.0,1,0.55,17.78,20.0,17.78,15.56,15.56,13.33,7.0,7.0,8.0,8.0,6.0,7.0,7.0,6.0,1,8.0,7.0,8.0,9.0,7.0,9.0,8.0,7.0,0,0,16.33,16.33,16.33,18.37,16.33,16.33,7.0,8.0,9.0,8.0,9.0
0,23.0,29.0,1,0.45,19.57,10.87,19.57,19.57,19.57,10.87,5.0,7.0,8.0,7.0,7.0,6.0,6.0,8.0,0,8.0,9.0,9.0,9.0,8.0,10.0,8.0,9.0,1,0,16.33,16.33,16.33,18.37,16.33,16.33,7.0,8.0,9.0,8.0,9.0
0,23.0,27.0,1,0.52,17.78,17.78,22.22,20.0,15.56,6.67,5.0,8.0,7.0,7.0,8.0,7.0,7.0,9.0,0,4.0,7.0,8.0,5.0,6.0,4.0,4.0,5.0,0,0,16.33,16.33,16.33,18.37,16.33,16.33,7.0,8.0,9.0,8.0,9.0
0,23.0,22.0,1,0.72,18.37,18.37,20.41,20.41,16.33,6.12,6.0,7.0,8.0,6.0,7.0,6.0,6.0,8.0,0,5.0,7.0,6.0,6.0,6.0,5.0,4.0,4.0,0,0,16.33,16.33,16.33,18.37,16.33,16.33,7.0,8.0,9.0,8.0,9.0
0,24.0,23.0,1,0.42,19.05,19.05,19.05,19.05,9.52,14.29,7.0,10.0,10.0,7.0,9.0,8.0,8.0,5.0,0,9.0,8.0,9.0,7.0,7.0,8.0,9.0,6.0,1,0,14.0,20.0,20.0,18.0,14.0,14.0,5.0,5.0,9.0,7.0,7.0
0,24.0,28.0,1,0.68,15.91,20.45,20.45,20.45,11.36,11.36,7.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,0,8.0,8.0,8.0,7.0,7.0,9.0,8.0,6.0,1,0,14.0,20.0,20.0,18.0,14.0,14.0,5.0,5.0,9.0,7.0,7.0
0,24.0,29.0,0,-0.18,16.0,18.0,18.0,18.0,14.0,16.0,8.0,10.0,7.0,10.0,7.0,5.0,7.0,5.0,0,4.0,8.0,9.0,4.0,10.0,3.0,5.0,5.0,0,0,14.0,20.0,20.0,18.0,14.0,14.0,5.0,5.0,9.0,7.0,7.0
0,24.0,22.0,1,-0.29,16.67,18.75,18.75,18.75,18.75,8.33,10.0,9.0,9.0,9.0,8.0,7.0,9.0,1.0,1,6.0,8.0,10.0,7.0,5.0,3.0,4.0,2.0,0,0,14.0,20.0,20.0,18.0,14.0,14.0,5.0,5.0,9.0,7.0,7.0
0,24.0,27.0,0,0.34,15.22,15.22,19.57,17.39,13.04,19.57,9.0,9.0,9.0,8.0,9.0,8.0,8.0,1.0,0,5.0,6.0,7.0,7.0,6.0,5.0,6.0,3.0,0,0,14.0,20.0,20.0,18.0,14.0,14.0,5.0,5.0,9.0,7.0,7.0
0,24.0,26.0,1,0.39,12.0,20.0,20.0,20.0,16.0,12.0,9.0,9.0,8.0,7.0,9.0,7.0,9.0,5.0,1,6.0,7.0,6.0,8.0,5.0,3.0,5.0,3.0,0,0,14.0,20.0,20.0,18.0,14.0,14.0,5.0,5.0,9.0,7.0,7.0
0,24.0,30.0,1,0.72,16.67,12.5,20.83,18.75,12.5,18.75,8.0,8.0,7.0,7.0,5.0,4.0,2.0,5.0,0,6.0,8.0,9.0,6.0,8.0,5.0,6.0,4.0,0,0,14.0,20.0,20.0,18.0,14.0,14.0,5.0,5.0,9.0,7.0,7.0
0,24.0,23.0,1,-0.2,18.6,13.95,18.6,16.28,16.28,16.28,10.0,9.0,9.0,8.0,7.0,4.0,8.0,1.0,0,2.0,6.0,6.0,4.0,5.0,5.0,3.0,5.0,0,0,14.0,20.0,20.0,18.0,14.0,14.0,5.0,5.0,9.0,7.0,7.0
0,24.0,23.0,0,0.11,11.11,17.78,17.78,17.78,17.78,17.78,6.0,9.0,8.0,8.0,7.0,10.0,8.0,1.0,0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1,0,14.0,20.0,20.0,18.0,14.0,14.0,5.0,5.0,9.0,7.0,7.0
0,24.0,28.0,1,-0.11,17.78,20.0,17.78,15.56,15.56,13.33,9.0,7.0,9.0,7.0,7.0,5.0,7.0,1.0,0,7.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,0,0,14.0,20.0,20.0,18.0,14.0,14.0,5.0,5.0,9.0,7.0,7.0
0,24.0,28.0,0,0.7,16.28,20.93,18.6,18.6,13.95,11.63,8.0,10.0,9.0,7.0,7.0,10.0,9.0,5.0,0,6.0,7.0,6.0,6.0,6.0,8.0,6.0,5.0,1,0,14.0,20.0,20.0,18.0,14.0,14.0,5.0,5.0,9.0,7.0,7.0
0,24.0,29.0,1,0.38,19.57,10.87,19.57,19.57,19.57,10.87,9.0,9.0,9.0,7.0,8.0,5.0,8.0,5.0,0,6.0,8.0,9.0,5.0,8.0,3.0,6.0,6.0,1,0,14.0,20.0,20.0,18.0,14.0,14.0,5.0,5.0,9.0,7.0,7.0
0,24.0,27.0,1,-0.25,17.78,17.78,22.22,20.0,15.56,6.67,9.0,9.0,9.0,7.0,8.0,7.0,9.0,5.0,1,2.0,7.0,9.0,2.0,4.0,2.0,3.0,7.0,0,0,14.0,20.0,20.0,18.0,14.0,14.0,5.0,5.0,9.0,7.0,7.0
0,24.0,22.0,1,-0.5,18.37,18.37,20.41,20.41,16.33,6.12,8.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,1,4.0,6.0,6.0,5.0,5.0,5.0,4.0,4.0,0,0,14.0,20.0,20.0,18.0,14.0,14.0,5.0,5.0,9.0,7.0,7.0
0,36.0,27.0,1,0.32,20.51,23.08,20.51,17.95,2.56,15.38,10.0,9.0,10.0,10.0,8.0,8.0,10.0,10.0,1,9.0,10.0,10.0,8.0,8.0,8.0,10.0,10.0,1,1,17.02,17.02,17.02,17.02,14.89,17.02,8.0,8.0,8.0,8.0,8.0
0,26.0,23.0,0,-0.15,19.05,19.05,19.05,19.05,9.52,14.29,5.0,5.0,8.0,5.0,5.0,5.0,5.0,4.0,0,9.0,7.0,7.0,9.0,8.0,6.0,8.0,4.0,1,0,18.75,16.67,18.75,16.67,16.67,12.5,8.0,7.0,9.0,8.0,7.0
0,26.0,28.0,0,0.55,15.91,20.45,20.45,20.45,11.36,11.36,5.0,6.0,8.0,5.0,5.0,4.0,5.0,4.0,0,6.0,6.0,6.0,6.0,6.0,3.0,5.0,4.0,0,0,18.75,16.67,18.75,16.67,16.67,12.5,8.0,7.0,9.0,8.0,7.0
0,26.0,29.0,0,0.25,16.0,18.0,18.0,18.0,14.0,16.0,8.0,6.0,7.0,8.0,9.0,7.0,8.0,10.0,1,8.0,10.0,9.0,8.0,8.0,7.0,6.0,8.0,1,1,18.75,16.67,18.75,16.67,16.67,12.5,8.0,7.0,9.0,8.0,7.0
0,26.0,22.0,0,0.17,16.67,18.75,18.75,18.75,18.75,8.33,7.0,6.0,7.0,6.0,6.0,5.0,6.0,6.0,1,7.0,8.0,9.0,10.0,6.0,6.0,4.0,3.0,0,0,18.75,16.67,18.75,16.67,16.67,12.5,8.0,7.0,9.0,8.0,7.0
0,26.0,27.0,1,0.11,15.22,15.22,19.57,17.39,13.04,19.57,5.0,6.0,6.0,6.0,5.0,4.0,5.0,5.0,0,5.0,7.0,7.0,8.0,7.0,5.0,5.0,4.0,1,0,18.75,16.67,18.75,16.67,16.67,12.5,8.0,7.0,9.0,8.0,7.0
0,26.0,26.0,0,0.51,12.0,20.0,20.0,20.0,16.0,12.0,7.0,8.0,8.0,7.0,7.0,8.0,8.0,6.0,1,7.0,9.0,7.0,8.0,7.0,8.0,6.0,6.0,0,0,18.75,16.67,18.75,16.67,16.67,12.5,8.0,7.0,9.0,8.0,7.0
0,26.0,27.0,0,0.5,20.51,23.08,20.51,17.95,2.56,15.38,6.0,8.0,8.0,6.0,6.0,5.0,5.0,5.0,0,9.0,6.0,6.0,8.0,6.0,5.0,6.0,3.0,0,0,18.75,16.67,18.75,16.67,16.67,12.5,8.0,7.0,9.0,8.0,7.0
0,26.0,30.0,0,0.66,16.67,12.5,20.83,18.75,12.5,18.75,7.0,7.0,7.0,5.0,6.0,5.0,6.0,6.0,1,7.0,8.0,8.0,10.0,8.0,5.0,8.0,4.0,1,1,18.75,16.67,18.75,16.67,16.67,12.5,8.0,7.0,9.0,8.0,7.0
0,26.0,23.0,0,0.36,18.6,13.95,18.6,16.28,16.28,16.28,6.0,6.0,6.0,6.0,6.0,5.0,6.0,5.0,0,3.0,6.0,5.0,8.0,2.0,4.0,5.0,5.0,0,0,18.75,16.67,18.75,16.67,16.67,12.5,8.0,7.0,9.0,8.0,7.0
0,26.0,23.0,1,0.38,11.11,17.78,17.78,17.78,17.78,17.78,4.0,8.0,8.0,4.0,4.0,3.0,4.0,6.0,0,4.0,7.0,8.0,7.0,5.0,7.0,5.0,6.0,0,0,18.75,16.67,18.75,16.67,16.67,12.5,8.0,7.0,9.0,8.0,7.0
0,26.0,28.0,1,0.43,16.28,20.93,18.6,18.6,13.95,11.63,4.0,7.0,8.0,4.0,6.0,4.0,5.0,5.0,0,7.0,7.0,7.0,6.0,6.0,7.0,6.0,6.0,1,0,18.75,16.67,18.75,16.67,16.67,12.5,8.0,7.0,9.0,8.0,7.0
0,26.0,29.0,0,0.54,19.57,10.87,19.57,19.57,19.57,10.87,4.0,7.0,9.0,4.0,6.0,3.0,5.0,5.0,0,5.0,6.0,7.0,9.0,7.0,4.0,9.0,8.0,0,0,18.75,16.67,18.75,16.67,16.67,12.5,8.0,7.0,9.0,8.0,7.0
0,26.0,22.0,0,0.03,18.37,18.37,20.41,20.41,16.33,6.12,6.0,8.0,8.0,8.0,4.0,5.0,6.0,6.0,0,5.0,7.0,5.0,6.0,6.0,4.0,4.0,4.0,0,0,18.75,16.67,18.75,16.67,16.67,12.5,8.0,7.0,9.0,8.0,7.0
0,27.0,23.0,0,0.11,19.05,19.05,19.05,19.05,9.52,14.29,4.0,8.0,8.0,2.0,6.0,1.0,1.0,1.0,0,9.0,8.0,8.0,7.0,7.0,7.0,8.0,5.0,1,0,15.38,17.31,19.23,19.23,19.23,9.62,8.0,9.0,9.0,9.0,8.0
0,27.0,29.0,0,-0.16,16.0,18.0,18.0,18.0,14.0,16.0,7.0,5.0,7.0,8.0,8.0,6.0,5.0,1.0,0,7.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,1,0,15.38,17.31,19.23,19.23,19.23,9.62,8.0,9.0,9.0,9.0,8.0
0,27.0,22.0,0,-0.19,16.67,18.75,18.75,18.75,18.75,8.33,5.0,8.0,8.0,5.0,5.0,1.0,4.0,1.0,0,6.0,6.0,8.0,5.0,7.0,5.0,5.0,4.0,0,0,15.38,17.31,19.23,19.23,19.23,9.62,8.0,9.0,9.0,9.0,8.0
0,27.0,27.0,1,0.11,15.22,15.22,19.57,17.39,13.04,19.57,6.0,8.0,8.0,4.0,9.0,7.0,8.0,5.0,0,6.0,6.0,7.0,7.0,6.0,7.0,6.0,5.0,1,0,15.38,17.31,19.23,19.23,19.23,9.62,8.0,9.0,9.0,9.0,8.0
0,27.0,26.0,0,0.58,12.0,20.0,20.0,20.0,16.0,12.0,7.0,9.0,9.0,8.0,8.0,7.0,8.0,5.0,1,8.0,8.0,8.0,7.0,6.0,5.0,7.0,4.0,0,0,15.38,17.31,19.23,19.23,19.23,9.62,8.0,9.0,9.0,9.0,8.0
0,27.0,30.0,0,0.8,16.67,12.5,20.83,18.75,12.5,18.75,6.0,7.0,6.0,1.0,5.0,2.0,1.0,1.0,0,8.0,8.0,9.0,6.0,9.0,5.0,8.0,4.0,1,0,15.38,17.31,19.23,19.23,19.23,9.62,8.0,9.0,9.0,9.0,8.0
0,27.0,23.0,0,0.14,18.6,13.95,18.6,16.28,16.28,16.28,3.0,8.0,8.0,5.0,8.0,2.0,6.0,1.0,0,6.0,5.0,6.0,5.0,4.0,3.0,5.0,4.0,1,0,15.38,17.31,19.23,19.23,19.23,9.62,8.0,9.0,9.0,9.0,8.0
0,27.0,23.0,1,0.31,11.11,17.78,17.78,17.78,17.78,17.78,2.0,8.0,8.0,4.0,2.0,2.0,5.0,1.0,0,7.0,8.0,8.0,6.0,6.0,5.0,7.0,6.0,1,0,15.38,17.31,19.23,19.23,19.23,9.62,8.0,9.0,9.0,9.0,8.0
0,27.0,28.0,1,0.74,16.28,20.93,18.6,18.6,13.95,11.63,3.0,8.0,8.0,4.0,8.0,1.0,4.0,1.0,0,6.0,6.0,7.0,5.0,8.0,5.0,6.0,5.0,1,0,15.38,17.31,19.23,19.23,19.23,9.62,8.0,9.0,9.0,9.0,8.0
0,27.0,29.0,0,0.42,19.57,10.87,19.57,19.57,19.57,10.87,4.0,8.0,8.0,7.0,8.0,5.0,9.0,3.0,0,7.0,7.0,7.0,6.0,8.0,6.0,8.0,6.0,1,0,15.38,17.31,19.23,19.23,19.23,9.62,8.0,9.0,9.0,9.0,8.0
0,27.0,27.0,0,-0.36,17.78,17.78,22.22,20.0,15.56,6.67,7.0,8.0,8.0,10.0,10.0,7.0,9.0,5.0,0,7.0,4.0,6.0,9.0,8.0,4.0,6.0,3.0,1,0,15.38,17.31,19.23,19.23,19.23,9.62,8.0,9.0,9.0,9.0,8.0
0,27.0,22.0,0,-0.34,18.37,18.37,20.41,20.41,16.33,6.12,7.0,9.0,9.0,5.0,8.0,2.0,7.0,2.0,0,5.0,8.0,5.0,7.0,6.0,5.0,5.0,4.0,0,0,15.38,17.31,19.23,19.23,19.23,9.62,8.0,9.0,9.0,9.0,8.0
